,department,name,cost,people,date,category
675,충청권특별지방자치단체합동추진단사무국,청사추어탕,36000,4,2023-04-20, 한식 
676,충청권특별지방자치단체합동추진단사무국,청와삼대,84000,4,2023-04-21, 한식 
677,충청권특별지방자치단체합동추진단사무국,재너머,75000,5,2023-04-28, 한식 
678,충청권특별지방자치단체합동추진단사무국,꿈앤카페,60000,12,2023-04-13, 카페
679,충청권특별지방자치단체합동추진단사무국,떼구르,158000,16,2023-04-18, 카페
680,충청권특별지방자치단체합동추진단사무국,제주생선구이올래밥상,110000,6,2023-04-28, 한식 
681,충청권특별지방자치단체합동추진단사무국,소쿠리밥상,60000,4,2023-04-05, 한식 
682,충청권특별지방자치단체합동추진단사무국,남가옥,54000,4,2023-04-07, 한식 
683,충청권특별지방자치단체합동추진단사무국,황제명태본가,48000,4,2023-04-11, 한식 
684,충청권특별지방자치단체합동추진단사무국,자유의언덕,63600,4,2023-04-27, 일식 
685,토지정보과,궁궐,126000,7,2023-04-05, 한식
686,토지정보과,두툼,66000,6,2023-04-13, 한식 
687,토지정보과,행복큐산업,236500,47,2023-04-14,미분류
688,토지정보과,수미가찌개,84000,7,2023-04-20, 한식 
689,토지정보과,진성민속촌,36000,4,2023-04-21, 한식 
690,토지정보과,수미가찌개,78000,6,2023-04-26, 한식 
691,투자유치단,두툼,58000,4,2023-04-04, 한식 
692,투자유치단,해궁,68000,5,2023-04-07, 한식 
693,투자유치단,더키친우와,68200,3,2023-04-20, 양식
694,투자유치단,순한양꼬치,84000,3,2023-04-21, 중식 
695,하수도과,청향일식,80000,4,2023-04-04, 일식 
696,하수도과,오씨네손칼국수,68000,7,2023-04-07,미분류
697,하수도과,착한낙지,70000,4,2023-04-20, 한식 
698,한솔동,박기문철판닭갈비,78000,5,2023-04-04,미분류
699,한솔동,이문수검은콩감자탕,43000,4,2023-04-05, 한식 
700,한솔동,세종메밀꽃필무렵,48000,3,2023-04-07, 한식 
703,한솔동,솔마루카페,25000,5,2023-04-19,미분류
704,한솔동,납득이,111000,8,2023-04-24,미분류
705,해밀동,당미소,118000,6,2023-04-14, 한식
706,해밀동,투썸플레스해밀점,108900,10,2023-04-20,미분류
707,환경녹지국,궁궐,200400,6,2023-04-03, 한식
708,환경녹지국,밀마루보리밥,66000,6,2023-04-04, 한식
709,환경녹지국,남도밥상,132000,6,2023-04-06, 한식 
710,환경녹지국,대나무한소반,130000,4,2023-04-07, 한식 
711,환경녹지국,돌우럭,84500,3,2023-04-14,미분류
712,환경녹지국,귤가게,196000,110,2023-04-14,미분류
713,환경녹지국,홍루이젠,120000,11,2023-04-17, 패스트푸드 
714,환경녹지국,밀마루보리밥,44000,4,2023-04-18, 한식
715,환경녹지국,카페세종리,13500,3,2023-04-19, 카페
716,환경녹지국,본죽&비빔밥,120000,8,2023-04-20, 한식 
718,환경녹지국,디그린,39500,7,2023-04-30, 카페
719,환경정책과,워낭2013,58000,4,2023-04-05, 한식 
720,환경정책과,해성마트,102320,20,2023-04-21,미분류
721,환경정책과,남도대박식당,70000,4,2023-04-19, 한식
722,환경정책과,로트나인커피,32000,8,2023-04-13, 카페
723,환경정책과,신미정춘천닭갈비,86300,6,2023-04-22, 한식 
724,회계과,오롯이,64000,4,2023-04-04, 일식
725,회계과,육산,144000,12,2023-04-12, 한식 
727,회계과,그릴200도,206000,10,2023-04-20, 한식 
728,회계과,우리숯불닭갈비,87000,4,2023-04-21, 한식 
